INSERT INTO Education VALUES('1', 'HSC', 'Science', 'DMC', '2009');
INSERT INTO Education VALUES('2', 'Masters', 'Engineering', 'DU', '1997');
INSERT INTO Education VALUES('3', 'SSC', 'MBBS', 'KUET', '1986');
INSERT INTO Education VALUES('4', 'Masters', 'Engineering', 'CUET', '1990');
INSERT INTO Education VALUES('5', 'Others', 'MBBS', 'KUET', '1988');
INSERT INTO Education VALUES('6', 'Masters', 'Science', 'BUET', '1996');
INSERT INTO Education VALUES('7', 'HSC', 'Commerce', 'CUET', '1993');
INSERT INTO Education VALUES('8', 'Others', 'Arts', 'DMC', '1989');
INSERT INTO Education VALUES('9', 'HSC', 'Commerce', 'SUST', '1987');
INSERT INTO Education VALUES('10', 'Bachelors', 'Engineering', 'CUET', '1998');
INSERT INTO Education VALUES('11', 'Bachelors', 'Science', 'DU', '1991');
INSERT INTO Education VALUES('12', 'Bachelors', 'Science', 'RUET', '2005');
INSERT INTO Education VALUES('13', 'Bachelors', 'Arts', 'DU', '2007');
INSERT INTO Education VALUES('14', 'Bachelors', 'MBBS', 'RUET', '2002');
INSERT INTO Education VALUES('15', 'SSC', 'MBBS', 'DU', '2007');
INSERT INTO Education VALUES('16', 'Masters', 'Engineering', 'DU', '2007');
INSERT INTO Education VALUES('17', 'Ph.D.', 'Commerce', 'BUET', '2006');
INSERT INTO Education VALUES('18', 'SSC', 'Engineering', 'BUET', '2006');
INSERT INTO Education VALUES('19', 'Ph.D.', 'Science', 'CUET', '2000');
INSERT INTO Education VALUES('20', 'SSC', 'Arts', 'DMC', '1999');
INSERT INTO Education VALUES('21', 'Bachelors', 'Science', 'CUET', '1986');
INSERT INTO Education VALUES('22', 'Bachelors', 'Arts', 'CUET', '1989');
INSERT INTO Education VALUES('23', 'Others', 'Commerce', 'RUET', '1993');
INSERT INTO Education VALUES('24', 'Masters', 'Commerce', 'DMC', '2004');
INSERT INTO Education VALUES('25', 'HSC', 'Engineering', 'CUET', '1990');
INSERT INTO Education VALUES('26', 'Ph.D.', 'Engineering', 'SUST', '1989');
INSERT INTO Education VALUES('27', 'Masters', 'Science', 'CUET', '2009');
INSERT INTO Education VALUES('28', 'Others', 'Science', 'SUST', '2002');
INSERT INTO Education VALUES('29', 'SSC', 'MBBS', 'BUET', '2001');
INSERT INTO Education VALUES('30', 'Others', 'MBBS', 'CUET', '1991');
INSERT INTO Education VALUES('31', 'Masters', 'Arts', 'SUST', '1991');
INSERT INTO Education VALUES('32', 'Ph.D.', 'Arts', 'SUST', '1987');
INSERT INTO Education VALUES('33', 'Masters', 'MBBS', 'DU', '1996');
INSERT INTO Education VALUES('34', 'Masters', 'Engineering', 'KUET', '1986');
INSERT INTO Education VALUES('35', 'SSC', 'Engineering', 'CUET', '1999');
INSERT INTO Education VALUES('36', 'SSC', 'Science', 'RUET', '1995');
INSERT INTO Education VALUES('37', 'HSC', 'Commerce', 'DMC', '2002');
INSERT INTO Education VALUES('38', 'HSC', 'Commerce', 'RUET', '1990');
INSERT INTO Education VALUES('39', 'Masters', 'MBBS', 'CUET', '1988');
INSERT INTO Education VALUES('40', 'HSC', 'Arts', 'BUET', '2007');
INSERT INTO Education VALUES('41', 'Others', 'Commerce', 'CUET', '1996');
INSERT INTO Education VALUES('42', 'Bachelors', 'Engineering', 'DMC', '1994');
INSERT INTO Education VALUES('43', 'Masters', 'Science', 'KUET', '1990');
INSERT INTO Education VALUES('44', 'Others', 'Arts', 'SUST', '1985');
INSERT INTO Education VALUES('45', 'SSC', 'Engineering', 'CUET', '2000');
INSERT INTO Education VALUES('46', 'Masters', 'Science', 'RUET', '1988');
INSERT INTO Education VALUES('47', 'Ph.D.', 'Science', 'DU', '2005');
INSERT INTO Education VALUES('48', 'Masters', 'Engineering', 'SUST', '1997');
INSERT INTO Education VALUES('49', 'Bachelors', 'Engineering', 'DU', '1996');
INSERT INTO Education VALUES('50', 'Others', 'Science', 'DU', '1996');
INSERT INTO Education VALUES('51', 'Masters', 'Arts', 'CUET', '1994');
INSERT INTO Education VALUES('52', 'Bachelors', 'Science', 'DU', '1989');
INSERT INTO Education VALUES('53', 'Masters', 'Arts', 'DMC', '1998');
INSERT INTO Education VALUES('54', 'SSC', 'Arts', 'RUET', '1993');
INSERT INTO Education VALUES('55', 'Masters', 'MBBS', 'CUET', '1994');
INSERT INTO Education VALUES('56', 'Masters', 'Engineering', 'RUET', '1994');
INSERT INTO Education VALUES('57', 'HSC', 'Engineering', 'BUET', '2003');
INSERT INTO Education VALUES('58', 'HSC', 'Science', 'KUET', '1994');
INSERT INTO Education VALUES('59', 'Others', 'Engineering', 'BUET', '2008');
INSERT INTO Education VALUES('60', 'Masters', 'Science', 'DMC', '1993');
INSERT INTO Education VALUES('61', 'SSC', 'MBBS', 'DU', '1994');
INSERT INTO Education VALUES('62', 'Masters', 'Arts', 'KUET', '2008');
INSERT INTO Education VALUES('63', 'Bachelors', 'Arts', 'DMC', '2010');
INSERT INTO Education VALUES('64', 'Masters', 'Arts', 'RUET', '1997');
